id,year,sport,medal_type
17726,1968,Swimming Women's 200 metres Individual Medley,Gold
17727,1968,Swimming Women's 400 metres Individual Medley,Gold
17728,2016,Rugby Sevens Men's Rugby Sevens,Bronze
17729,1976,Rowing Men's Single Sculls,Silver
17730,1984,Rowing Men's Single Sculls,Silver
17731,1988,Rowing Men's Single Sculls,Silver
17732,1920,Boxing Men's Welterweight,Bronze
17733,2008,Rowing Men's Quadruple Sculls,Gold
17734,1956,Cross Country Skiing Men's 15 kilometres,Bronze
17735,1956,Cross Country Skiing Men's 30 kilometres,Bronze
17736,1956,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
17737,1964,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
17738,1956,Cross Country Skiing Women's 3 x 5 kilometres Relay,Silver
17739,1964,Cross Country Skiing Women's 5 kilometres,Bronze
17740,1964,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
17741,1968,Cross Country Skiing Women's 5 kilometres,Bronze
17742,1968,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
17743,1976,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
17744,1980,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
17745,1980,"Fencing Men's epee, Individual",Silver
17746,1992,"Fencing Men's epee, Team",Silver
17747,1952,Cross Country Skiing Men's 50 kilometres,Silver
17748,1912,"Athletics Men's 5,000 metres",Gold
17749,1912,"Athletics Men's 10,000 metres",Gold
17750,1912,"Athletics Men's Cross-Country, Individual",Gold
17751,1912,"Athletics Men's Cross-Country, Team",Silver
17752,1920,Athletics Men's Marathon,Gold
17753,1992,"Canoeing Men's Kayak Singles, 500 metres",Gold
17754,2016,Synchronized Swimming Women's Team,Gold
17755,1976,Athletics Men's 4 x 100 metres Relay,Bronze
17756,1976,Weightlifting Men's Featherweight,Gold
17757,2000,Gymnastics Women's Team All-Around,Silver
17758,1976,Athletics Women's 4 x 400 metres Relay,Bronze
17759,1964,"Wrestling Men's Welterweight, Greco-Roman",Gold
17760,1896,Cycling Men's 100 kilometres,Silver
17761,1956,Football Men's Football,Bronze
17762,1976,"Wrestling Men's Middleweight, Greco-Roman",Bronze
17763,1980,Weightlifting Men's Middleweight,Bronze
17764,1976,Boxing Men's Light-Welterweight,Bronze
17765,1996,Rhythmic Gymnastics Women's Group,Silver
17766,2000,"Canoeing Men's Kayak Singles, 500 metres",Bronze
17767,1920,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Bronze
17768,1920,"Shooting Men's Running Target, Single Shot, Team",Silver
17769,1920,"Shooting Men's Running Target, Double Shot, Team",Bronze
17770,2016,Rugby Sevens Men's Rugby Sevens,Gold
17771,1976,Sailing Mixed Three Person Keelboat,Silver
17772,1976,Rowing Women's Coxed Eights,Silver
17773,1996,Handball Women's Handball,Gold
17774,2000,Handball Women's Handball,Gold
17775,1988,"Fencing Men's epee, Team",Bronze
17776,1992,"Fencing Men's epee, Individual",Silver
17777,1992,"Fencing Men's epee, Team",Bronze
17778,1996,"Fencing Men's epee, Team",Silver
17779,2000,"Fencing Men's epee, Individual",Gold
17780,2004,"Fencing Men's epee, Individual",Bronze
17781,2008,"Cycling Men's Road Race, Individual",Bronze
17782,2016,"Fencing Women's epee, Team",Bronze
17783,2012,Athletics Women's Shot Put,Silver
17784,1964,"Speed Skating Women's 1,500 metres",Bronze
17785,1908,Figure Skating Men's Special Figures,Gold
17786,1996,"Canoeing Men's Canadian Doubles, 500 metres",Gold
17787,1996,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
17788,2000,"Canoeing Men's Canadian Singles, 500 metres",Gold
17789,2004,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
17790,1988,Water Polo Men's Water Polo,Bronze
17791,1992,Water Polo Men's Water Polo,Bronze
17792,1972,Football Men's Football,Bronze
17793,1976,Football Men's Football,Bronze
17794,1980,Athletics Women's Long Jump,Gold
17795,2004,Diving Women's Synchronized Platform,Silver
17796,1960,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
17797,2012,Boxing Women's Flyweight,Bronze
17798,1972,Athletics Men's Shot Put,Gold
17799,1988,"Wrestling Men's Middleweight, Greco-Roman",Silver
17800,1952,Rowing Men's Coxed Eights,Silver
17801,2014,Ice Hockey Men's Ice Hockey,Bronze
17802,1988,Rowing Men's Coxed Eights,Silver
17803,2004,Swimming Women's 200 metres Backstroke,Silver
17804,2016,"Fencing Women's Sabre, Team",Silver
17805,1992,Basketball Men's Basketball,Silver
17806,2004,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
17807,2004,Swimming Women's 4 x 100 metres Medley Relay,Silver
17808,1980,Athletics Women's 100 metres Hurdles,Gold
17809,1980,Athletics Women's 4 x 100 metres Relay,Silver
17810,1972,Cycling Men's 100 kilometres Team Time Trial,Gold
17811,1980,Basketball Women's Basketball,Bronze
17812,1964,Football Men's Football,Gold
17813,2012,Gymnastics Women's Individual All-Around,Silver
17814,2012,Gymnastics Women's Team All-Around,Silver
17815,1988,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
17816,1932,Hockey Men's Hockey,Silver
17817,1992,Football Men's Football,Bronze
17818,1980,Boxing Men's Light-Welterweight,Silver
17819,1932,"Art Competitions Mixed Painting, Graphic Arts",Silver
17820,1984,Basketball Men's Basketball,Gold
17821,1976,"Speed Skating Men's 1,500 metres",Silver
17822,2016,Judo Women's Extra-Lightweight,Bronze
17823,1964,Volleyball Women's Volleyball,Gold
17824,1972,Volleyball Men's Volleyball,Bronze
17825,1976,Volleyball Men's Volleyball,Silver
17826,1980,Volleyball Men's Volleyball,Gold
17827,1976,Rowing Women's Coxed Quadruple Sculls,Silver
17828,1980,Athletics Women's 100 metres,Gold
17829,1988,Athletics Women's 4 x 100 metres Relay,Bronze
17830,1972,Handball Men's Handball,Silver
17831,1980,Cycling Men's 100 kilometres Team Time Trial,Bronze
17832,1952,Basketball Men's Basketball,Silver
17833,1996,Table Tennis Men's Doubles,Gold
17834,2000,Table Tennis Men's Singles,Gold
17835,2000,Table Tennis Men's Doubles,Silver
17836,1996,"Athletics Women's 5,000 metres",Silver
17837,1952,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
17838,1960,Rowing Men's Coxed Eights,Bronze
17839,1964,Rowing Men's Coxed Eights,Bronze
17840,1920,"Equestrianism Men's Jumping, Team",Gold
17841,1924,"Equestrianism Men's Three-Day Event, Team",Silver
17842,2000,"Fencing Women's Foil, Individual",Silver
17843,2000,"Fencing Women's Foil, Team",Bronze
17844,1988,Gymnastics Men's Team All-Around,Bronze
17845,1932,Hockey Men's Hockey,Silver
17846,1976,Football Men's Football,Bronze
17847,1972,"Ski Jumping Men's Normal Hill, Individual",Silver
17848,1952,Swimming Men's 400 metres Freestyle,Silver
17849,1952,"Swimming Men's 1,500 metres Freestyle",Gold
17850,1952,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
17851,1956,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
17852,1956,Gymnastics Men's Team All-Around,Silver
17853,1992,Nordic Combined Men's Team,Gold
17854,1994,Nordic Combined Men's Team,Gold
17855,1994,Nordic Combined Men's Individual,Silver
17856,1952,Weightlifting Men's Lightweight,Gold
17857,1956,Weightlifting Men's Light-Heavyweight,Gold
17858,1960,Weightlifting Men's Middleweight,Silver
17859,1928,Athletics Women's Discus Throw,Gold
17860,1948,Ice Hockey Men's Ice Hockey,Silver
17861,1964,Ice Hockey Men's Ice Hockey,Gold
17862,1968,Ice Hockey Men's Ice Hockey,Gold
17863,1956,Athletics Men's 4 x 100 metres Relay,Silver
17864,1960,Athletics Men's 4 x 100 metres Relay,Silver
17865,1936,Sailing Mixed 6 metres,Silver
17866,1912,Sailing Mixed 12 metres,Gold
17867,1920,Sailing Mixed 8 metres,Gold
17868,1936,Sailing Mixed 6 metres,Silver
17869,1968,Water Polo Men's Water Polo,Bronze
17870,1972,Water Polo Men's Water Polo,Silver
17871,1976,Water Polo Men's Water Polo,Gold
17872,1960,Water Polo Men's Water Polo,Bronze
17873,1964,Water Polo Men's Water Polo,Gold
17874,1968,Water Polo Men's Water Polo,Bronze
17875,1960,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
17876,1960,Swimming Women's 4 x 100 metres Medley Relay,Silver
17877,1960,Swimming Men's 400 metres Freestyle,Bronze
17878,1960,"Swimming Men's 1,500 metres Freestyle",Gold
17879,1960,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
17880,1980,Rowing Men's Coxed Eights,Gold
17881,1896,"Cycling Men's Road Race, Individual",Gold
17882,1960,Sailing Mixed Three Person Keelboat,Gold
17883,1976,"Wrestling Men's Flyweight, Greco-Roman",Gold
17884,2012,Sailing Men's One Person Dinghy,Silver
17885,2014,Ice Hockey Men's Ice Hockey,Bronze
17886,1952,Sailing Mixed 6 metres,Bronze
17887,1994,Ice Hockey Men's Ice Hockey,Silver
17888,2000,Water Polo Women's Water Polo,Bronze
17889,1932,"Art Competitions Mixed Architecture, Architectural Designs",Bronze
17890,1956,Athletics Women's Javelin Throw,Bronze
17891,1984,Boxing Men's Featherweight,Silver
17892,1984,Alpine Skiing Women's Slalom,Bronze
17893,1988,Hockey Men's Hockey,Bronze
17894,1996,Hockey Women's Hockey,Bronze
17895,2008,Water Polo Women's Water Polo,Gold
17896,1928,Hockey Men's Hockey,Silver
17897,1964,Volleyball Men's Volleyball,Silver
17898,1968,Volleyball Men's Volleyball,Bronze
17899,1976,Ice Hockey Men's Ice Hockey,Bronze
17900,2012,Handball Men's Handball,Bronze
17901,2008,Baseball Men's Baseball,Bronze
17902,1976,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
17903,1980,Swimming Men's 200 metres Freestyle,Gold
17904,1980,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
17905,1980,Swimming Men's 4 x 100 metres Medley Relay,Silver
17906,1964,Gymnastics Men's Team All-Around,Bronze
17907,1980,Rowing Men's Coxed Eights,Gold
17908,1988,Rowing Men's Quadruple Sculls,Bronze
17909,1992,Rowing Women's Double Sculls,Gold
17910,1996,Rowing Women's Quadruple Sculls,Gold
17911,2004,Rowing Men's Quadruple Sculls,Silver
17912,1912,"Cycling Men's Road Race, Team",Bronze
17913,1980,Cycling Men's Sprint,Bronze
17914,2006,Curling Men's Curling,Gold
17915,1968,Basketball Men's Basketball,Silver
17916,2016,"Shooting Women's Air Pistol, 10 metres",Bronze
17917,2016,"Shooting Women's Sporting Pistol, 25 metres",Gold
17918,1952,Rowing Men's Coxed Fours,Gold
17919,1980,"Wrestling Men's Middleweight, Greco-Roman",Gold
17920,1984,Ice Hockey Men's Ice Hockey,Silver
17921,1972,Gymnastics Women's Team All-Around,Gold
17922,1972,Gymnastics Women's Floor Exercise,Gold
17923,1972,Gymnastics Women's Uneven Bars,Silver
17924,1972,Gymnastics Women's Balance Beam,Gold
17925,1976,Gymnastics Women's Team All-Around,Gold
17926,1976,Gymnastics Women's Balance Beam,Silver
17927,1964,Volleyball Women's Volleyball,Bronze
17928,1906,"Fencing Men's Sabre, Team",Silver
17929,1994,Alpine Skiing Women's Slalom,Bronze
17930,1988,"Fencing Men's Foil, Team",Gold
17931,1948,Water Polo Men's Water Polo,Bronze
17932,1932,Ice Hockey Men's Ice Hockey,Bronze
17933,2004,Rowing Women's Coxed Eights,Silver
17934,1952,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
17935,1956,Modern Pentathlon Men's Individual,Bronze
17936,1956,Modern Pentathlon Men's Team,Bronze
17937,1960,"Wrestling Men's Lightweight, Greco-Roman",Gold
17938,1912,Tennis Women's Singles,Silver
17939,1912,Tennis Mixed Doubles,Gold
17940,1984,"Athletics Men's 3,000 metres Steeplechase",Gold
17941,1988,Athletics Men's Javelin Throw,Gold
17942,1972,Basketball Men's Basketball,Gold
17943,1976,Basketball Men's Basketball,Bronze
17944,1952,Basketball Men's Basketball,Silver
17945,1964,"Wrestling Men's Middleweight, Greco-Roman",Silver
17946,1976,Gymnastics Men's Floor Exercise,Bronze
17947,1996,Rowing Women's Coxed Eights,Silver
17948,2000,Rowing Women's Coxed Eights,Bronze
17949,2008,Hockey Men's Hockey,Gold
17950,2012,Hockey Men's Hockey,Gold
17951,1992,"Wrestling Men's Welterweight, Greco-Roman",Bronze
17952,1972,Athletics Men's 4 x 100 metres Relay,Silver
17953,1964,Football Men's Football,Bronze
17954,1900,Rowing Men's Coxed Fours,Bronze
17955,1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Silver
17956,2008,Volleyball Men's Volleyball,Bronze
17957,1996,Swimming Men's 200 metres Breaststroke,Bronze
17958,1960,Basketball Men's Basketball,Silver
17959,1964,Basketball Men's Basketball,Silver
17960,1928,Athletics Men's 200 metres,Bronze
17961,1928,Athletics Men's 4 x 100 metres Relay,Silver
17962,1932,Athletics Men's 4 x 100 metres Relay,Silver
17963,1980,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
17964,1992,Gymnastics Men's Team All-Around,Gold
17965,1992,Gymnastics Men's Parallel Bars,Bronze
17966,1996,Gymnastics Men's Team All-Around,Bronze
17967,2012,"Fencing Women's Foil, Team",Silver
17968,2008,Weightlifting Women's Super-Heavyweight,Silver
17969,2012,Synchronized Swimming Women's Team,Gold
17970,2008,Rowing Men's Quadruple Sculls,Gold
17971,1976,Weightlifting Men's Lightweight,Gold
17972,1980,"Equestrianism Mixed Jumping, Individual",Silver
17973,1980,"Equestrianism Mixed Jumping, Team",Gold
17974,1952,Gymnastics Men's Team All-Around,Gold
17975,1952,Gymnastics Men's Pommelled Horse,Silver
17976,2000,Water Polo Women's Water Polo,Bronze
17977,1952,Gymnastics Women's Individual All-Around,Bronze
17978,1952,Gymnastics Women's Team All-Around,Silver
17979,1952,Gymnastics Women's Team Portable Apparatus,Bronze
17980,1952,Gymnastics Women's Floor Exercise,Bronze
17981,1952,Gymnastics Women's Uneven Bars,Gold
17982,1952,Gymnastics Women's Balance Beam,Bronze
17983,1956,Gymnastics Women's Team All-Around,Silver
17984,1956,Gymnastics Women's Team Portable Apparatus,Gold
17985,2010,Cross Country Skiing Women's Team Sprint,Bronze
17986,2012,Swimming Men's 100 metres Butterfly,Silver
17987,2012,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
17988,2014,Ice Hockey Men's Ice Hockey,Bronze
17989,1972,Rowing Men's Double Sculls,Gold
17990,1976,"Canoeing Women's Kayak Singles, 500 metres",Silver
17991,1976,"Speed Skating Women's 3,000 metres",Bronze
17992,2004,Basketball Women's Basketball,Bronze
17993,2008,Basketball Women's Basketball,Bronze
17994,1956,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
17995,1984,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
17996,1988,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
17997,1936,Handball Men's Handball,Gold
17998,1988,"Fencing Men's Sabre, Team",Silver
17999,1988,Volleyball Women's Volleyball,Gold
18000,1992,Volleyball Women's Volleyball,Silver
18001,1996,Athletics Men's 50 kilometres Walk,Gold
18002,2000,Athletics Men's 20 kilometres Walk,Gold
18003,2000,Athletics Men's 50 kilometres Walk,Gold
18004,2004,Athletics Men's 50 kilometres Walk,Gold
18005,1960,Athletics Men's 4 x 100 metres Relay,Silver
18006,2004,Volleyball Men's Volleyball,Bronze
18007,2008,Volleyball Men's Volleyball,Bronze
18008,1956,Football Men's Football,Silver
18009,1936,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
18010,1972,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
18011,1980,Rowing Women's Coxless Pairs,Silver
18012,1964,Volleyball Men's Volleyball,Bronze
18013,1980,Boxing Men's Featherweight,Bronze
18014,1976,Boxing Men's Featherweight,Bronze
18015,2000,Softball Women's Softball,Silver
18016,1976,Diving Men's Springboard,Bronze
18017,2000,"Athletics Men's 3,000 metres Steeplechase",Gold
18018,1972,Gymnastics Women's Team All-Around,Gold
18019,1976,Swimming Women's 100 metres Breaststroke,Bronze
18020,1976,Swimming Women's 200 metres Breaststroke,Gold
18021,1992,Judo Men's Extra-Lightweight,Bronze
18022,1980,Boxing Men's Light-Middleweight,Silver
18023,1996,Gymnastics Men's Team All-Around,Bronze
18024,1960,"Speed Skating Men's 5,000 metres",Gold
18025,1960,"Speed Skating Men's 10,000 metres",Silver
18026,1968,Swimming Men's 100 metres Breaststroke,Silver
18027,1968,Swimming Men's 200 metres Breaststroke,Silver
18028,1968,Swimming Men's 4 x 100 metres Medley Relay,Bronze
18029,1994,Alpine Skiing Men's Slalom,Bronze
18030,2014,Snowboarding Men's Parallel Giant Slalom,Bronze
18031,2014,Snowboarding Men's Parallel Slalom,Silver
18032,1988,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
18033,1932,"Wrestling Men's Featherweight, Greco-Roman",Bronze
18034,1936,"Wrestling Men's Lightweight, Greco-Roman",Gold
18035,1912,"Wrestling Men's Featherweight, Greco-Roman",Gold
18036,1920,"Athletics Men's Cross-Country, Team",Gold
18037,1952,Boxing Men's Heavyweight,Bronze
18038,2006,Snowboarding Men's Halfpipe,Bronze
18039,1988,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
18040,1992,"Wrestling Men's Heavyweight, Greco-Roman",Silver
18041,1992,"Speed Skating Men's 1,500 metres",Gold
18042,1992,"Speed Skating Men's 10,000 metres",Silver
18043,1994,"Speed Skating Men's 1,500 metres",Gold
18044,1994,"Speed Skating Men's 5,000 metres",Gold
18045,1994,"Speed Skating Men's 10,000 metres",Gold
18046,1980,Cycling Men's 100 kilometres Team Time Trial,Bronze
18047,1972,Boxing Men's Flyweight,Gold
18048,1988,Athletics Women's High Jump,Silver
18049,1996,Athletics Women's High Jump,Gold
18050,1992,"Fencing Men's epee, Team",Bronze
18051,1960,"Fencing Men's epee, Team",Bronze
18052,1964,"Fencing Men's epee, Individual",Bronze
18053,1964,Gymnastics Men's Team All-Around,Bronze
18054,1968,Gymnastics Men's Team All-Around,Bronze
18055,1972,Gymnastics Men's Team All-Around,Bronze
18056,1972,Gymnastics Men's Horse Vault,Gold
18057,1988,Sailing Mixed Three Person Keelboat,Silver
18058,2008,Shooting Men's Trap,Gold
18059,2006,Alpine Skiing Men's Combined,Silver
18060,2010,Alpine Skiing Men's Slalom,Silver
18061,2010,Alpine Skiing Men's Combined,Silver
18062,2014,Alpine Skiing Men's Combined,Silver
18063,2002,Alpine Skiing Women's Super G,Silver
18064,2002,Alpine Skiing Women's Giant Slalom,Gold
18065,2002,Alpine Skiing Women's Slalom,Gold
18066,2002,Alpine Skiing Women's Combined,Gold
18067,2006,Alpine Skiing Women's Super G,Silver
18068,2006,Alpine Skiing Women's Combined,Gold
18069,2004,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
18070,1976,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
18071,2004,"Shooting Women's Air Pistol, 10 metres",Gold
18072,2012,"Shooting Women's Air Pistol, 10 metres",Bronze
18073,2012,"Shooting Women's Sporting Pistol, 25 metres",Bronze
18074,1960,Football Men's Football,Gold
18075,1972,Football Men's Football,Gold
18076,2014,Figure Skating Women's Singles,Bronze
18077,1994,Alpine Skiing Women's Downhill,Bronze
18078,1994,Alpine Skiing Women's Super G,Bronze
18079,2002,Alpine Skiing Women's Downhill,Silver
18080,2004,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
18081,2004,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
18082,2008,"Canoeing Men's Canadian Doubles, 500 metres",Silver
18083,2006,Figure Skating Mixed Ice Dancing,Gold
18084,1976,"Wrestling Men's Heavyweight, Freestyle",Bronze
18085,1980,Volleyball Women's Volleyball,Silver
18086,1976,Rowing Men's Coxed Eights,Gold
18087,2004,Handball Men's Handball,Bronze
18088,1968,"Shooting Mixed Free Pistol, 50 metres",Gold
18089,2000,Water Polo Men's Water Polo,Gold
18090,1976,Weightlifting Men's Flyweight,Silver
18091,1956,Gymnastics Women's Team Portable Apparatus,Bronze
18092,1984,Weightlifting Men's Bantamweight,Bronze
18093,2006,Ice Hockey Men's Ice Hockey,Bronze
18094,1988,Synchronized Swimming Women's Solo,Bronze
18095,1988,Synchronized Swimming Women's Duet,Bronze
18096,2000,Boxing Men's Lightweight,Silver
18097,1980,Water Polo Men's Water Polo,Gold
18098,1988,Water Polo Men's Water Polo,Bronze
18099,1972,"Fencing Men's Foil, Team",Silver
18100,1928,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
18101,1976,Swimming Women's 200 metres Butterfly,Bronze
18102,1976,Swimming Women's 4 x 100 metres Medley Relay,Gold
18103,2000,"Fencing Men's Sabre, Individual",Bronze
18104,2000,"Fencing Men's Sabre, Team",Bronze
18105,1952,"Wrestling Men's Heavyweight, Greco-Roman",Gold
18106,2000,Athletics Women's 4 x 400 metres Relay,Bronze
18107,2000,Athletics Women's Long Jump,Bronze
18108,2004,Athletics Women's Long Jump,Bronze
18109,1992,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
18110,2000,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
18111,1996,Baseball Men's Baseball,Bronze
18112,2014,Snowboarding Men's Slopestyle,Gold
18113,1964,Rowing Men's Single Sculls,Bronze
18114,1972,Boxing Men's Light-Middleweight,Gold
18115,2008,Diving Women's Synchronized Springboard,Bronze
18116,1968,Volleyball Men's Volleyball,Bronze
18117,2010,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
18118,1924,Gymnastics Men's Horse Vault,Silver
18119,1928,Gymnastics Men's Team All-Around,Silver
18120,1948,"Wrestling Men's Bantamweight, Freestyle",Bronze
18121,1996,Volleyball Men's Volleyball,Bronze
18122,2000,Volleyball Men's Volleyball,Gold
18123,1980,Judo Men's Heavyweight,Bronze
18124,1956,Football Men's Football,Bronze
18125,1952,Water Polo Men's Water Polo,Silver
18126,1956,Water Polo Men's Water Polo,Silver
18127,1996,Swimming Women's 200 metres Breaststroke,Bronze
18128,2000,Swimming Women's 200 metres Breaststroke,Gold
18129,1992,Judo Men's Half-Heavyweight,Gold
18130,1976,"Fencing Women's Foil, Team",Bronze
18131,1980,"Fencing Women's Foil, Team",Bronze
18132,1988,"Fencing Women's Foil, Team",Bronze
18133,1960,Football Men's Football,Bronze
18134,1952,Football Men's Football,Gold
18135,1992,Boxing Men's Flyweight,Bronze
18136,1996,Boxing Men's Bantamweight,Gold
18137,1980,"Wrestling Men's Middleweight, Freestyle",Bronze
18138,1992,"Fencing Men's epee, Team",Silver
18139,2004,"Fencing Men's epee, Team",Silver
18140,2016,Athletics Men's Shot Put,Silver
18141,1956,"Athletics Men's 10,000 metres",Silver
18142,1972,Football Men's Football,Silver
18143,2000,"Canoeing Women's Kayak Doubles, 500 metres",Silver
18144,2000,"Canoeing Women's Kayak Fours, 500 metres",Silver
18145,2004,"Canoeing Women's Kayak Doubles, 500 metres",Gold
18146,2004,"Canoeing Women's Kayak Fours, 500 metres",Silver
18147,2008,"Canoeing Women's Kayak Doubles, 500 metres",Gold
18148,2008,"Canoeing Women's Kayak Fours, 500 metres",Silver
18149,2012,"Canoeing Women's Kayak Doubles, 500 metres",Silver
18150,2012,"Canoeing Women's Kayak Fours, 500 metres",Gold
18151,1936,"Fencing Men's Sabre, Team",Gold
18152,1948,"Fencing Men's Sabre, Individual",Bronze
18153,1948,"Fencing Men's Sabre, Team",Gold
18154,1952,"Fencing Men's Sabre, Individual",Gold
18155,1952,"Fencing Men's Sabre, Team",Gold
18156,1956,"Fencing Men's Sabre, Team",Gold
18157,1960,"Fencing Men's Sabre, Team",Gold
18158,1980,Gymnastics Men's Team All-Around,Bronze
18159,1968,"Fencing Men's Sabre, Team",Bronze
18160,1972,"Fencing Men's Sabre, Team",Bronze
18161,1988,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
18162,1968,Athletics Women's Pentathlon,Bronze
18163,1952,Modern Pentathlon Men's Team,Gold
18164,2004,Athletics Men's Discus Throw,Silver
18165,2002,Ice Hockey Men's Ice Hockey,Bronze
18166,1988,Athletics Men's Triple Jump,Bronze
18167,1992,Ice Hockey Men's Ice Hockey,Gold
18168,1998,Ice Hockey Men's Ice Hockey,Silver
18169,1992,Water Polo Men's Water Polo,Bronze
18170,1968,Basketball Men's Basketball,Bronze
18171,1972,Basketball Men's Basketball,Gold
18172,1964,Volleyball Men's Volleyball,Gold
18173,2008,Athletics Men's Javelin Throw,Silver
18174,2004,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
18175,2004,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
18176,1992,Ice Hockey Men's Ice Hockey,Gold
18177,2002,Ice Hockey Men's Ice Hockey,Bronze
18178,2012,"Fencing Men's Sabre, Individual",Bronze
18179,1976,Figure Skating Men's Singles,Silver
18180,1952,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
18181,1948,Gymnastics Women's Team All-Around,Gold
18182,1992,"Fencing Men's Sabre, Team",Silver
18183,1996,"Fencing Men's Sabre, Team",Silver
18184,1948,Gymnastics Women's Team All-Around,Silver
18185,1952,Gymnastics Women's Team All-Around,Silver
18186,1952,Gymnastics Women's Team Portable Apparatus,Bronze
18187,1984,Ice Hockey Men's Ice Hockey,Gold
18188,1976,Archery Women's Individual,Silver
18189,1988,Cycling Men's Sprint,Silver
18190,1980,"Equestrianism Mixed Dressage, Individual",Silver
18191,1980,"Equestrianism Mixed Dressage, Team",Gold
18192,1996,Rowing Men's Double Sculls,Bronze
18193,2000,Swimming Women's 200 metres Breaststroke,Silver
18194,1980,"Equestrianism Mixed Jumping, Individual",Gold
18195,1980,"Equestrianism Mixed Jumping, Team",Silver
18196,2006,Cross Country Skiing Women's 30 kilometres,Bronze
18197,2010,Cross Country Skiing Women's Sprint,Silver
18198,2010,Cross Country Skiing Women's 30 kilometres,Gold
18199,2010,Cross Country Skiing Women's 15 km Skiathlon,Bronze
18200,2014,Cross Country Skiing Women's 10 kilometres,Gold
18201,1992,Football Men's Football,Silver
18202,1996,Swimming Men's 200 metres Freestyle,Bronze
18203,1996,Swimming Men's 400 metres Freestyle,Bronze
18204,1996,"Swimming Men's 1,500 metres Freestyle",Silver
18205,2000,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
18206,2000,Rowing Women's Quadruple Sculls,Gold
18207,2000,Rowing Women's Quadruple Sculls,Gold
18208,2004,Rowing Women's Quadruple Sculls,Gold
18209,1964,Bobsleigh Men's Four,Silver
18210,1964,Volleyball Men's Volleyball,Bronze
18211,2008,"Canoeing Women's Kayak Fours, 500 metres",Silver
18212,2012,"Canoeing Women's Kayak Singles, 500 metres",Gold
18213,2012,"Canoeing Women's Kayak Fours, 500 metres",Gold
18214,2016,"Canoeing Women's Kayak Singles, 500 metres",Gold
18215,2016,"Canoeing Women's Kayak Doubles, 500 metres",Gold
18216,2016,"Canoeing Women's Kayak Fours, 500 metres",Gold
18217,1960,Rowing Men's Double Sculls,Gold
18218,1980,Athletics Men's Pole Vault,Gold
18219,1976,Volleyball Women's Volleyball,Silver
18220,1906,Gymnastics Men's Rope Climbing,Bronze
18221,1976,Rowing Women's Coxed Eights,Silver
18222,2012,Rowing Women's Quadruple Sculls,Gold
18223,1984,Ice Hockey Men's Ice Hockey,Gold
18224,1988,Ice Hockey Men's Ice Hockey,Gold
18225,1992,Freestyle Skiing Women's Moguls,Silver
18226,1994,Freestyle Skiing Women's Moguls,Bronze
18227,1980,"Equestrianism Mixed Jumping, Team",Silver
18228,1972,"Fencing Men's Foil, Team",Gold
18229,1980,"Fencing Men's Foil, Team",Bronze
18230,1960,Football Men's Football,Gold
18231,1992,Water Polo Men's Water Polo,Bronze
18232,2000,Water Polo Men's Water Polo,Silver
18233,2004,Water Polo Men's Water Polo,Bronze
