id,year,sport,medal_type
306,1956,Gymnastics Men's Floor Exercise,Silver
307,1960,Gymnastics Men's Team All-Around,Gold
308,1960,Gymnastics Men's Floor Exercise,Gold
309,1992,Gymnastics Men's Team All-Around,Bronze
310,2004,Baseball Men's Baseball,Bronze
311,1956,Rowing Men's Coxed Eights,Bronze
312,1996,Sailing Mixed One Person Dinghy,Silver
313,2000,Sailing Mixed One Person Dinghy,Gold
314,2004,Sailing Men's One Person Dinghy,Gold
315,2008,Sailing Mixed One Person Dinghy,Gold
316,2012,Sailing Men's One Person Heavyweight Dinghy,Gold
317,2000,Baseball Men's Baseball,Gold
318,1920,Athletics Men's 4 x 400 metres Relay,Gold
319,1968,Sailing Mixed 5.5 metres,Bronze
320,1936,Basketball Men's Basketball,Silver
321,1912,"Tennis Mixed Doubles, Covered Courts",Silver
322,1992,"Cycling Men's Team Pursuit, 4,000 metres",Silver
323,1996,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
324,2000,Cycling Men's Madison,Gold
325,1900,Rugby Men's Rugby,Gold
326,2008,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
327,2000,Rhythmic Gymnastics Women's Group,Bronze
328,2016,Football Men's Football,Bronze
329,1992,Baseball Men's Baseball,Gold
330,1996,Baseball Men's Baseball,Gold
331,2000,Baseball Men's Baseball,Silver
332,2008,Football Men's Football,Silver
333,2016,Athletics Men's 4 x 100 metres Relay,Bronze
334,1996,Athletics Women's Long Jump,Gold
335,1984,Athletics Men's 4 x 400 metres Relay,Silver
336,1992,Athletics Men's 400 metres Hurdles,Bronze
337,1992,Athletics Men's 4 x 400 metres Relay,Bronze
338,1984,"Wrestling Men's Featherweight, Freestyle",Silver
339,1992,"Wrestling Men's Lightweight, Freestyle",Bronze
340,1948,"Wrestling Men's Bantamweight, Freestyle",Gold
341,1992,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
342,1956,"Wrestling Men's Flyweight, Freestyle",Bronze
343,1964,"Wrestling Men's Bantamweight, Freestyle",Silver
344,1972,"Wrestling Men's Featherweight, Freestyle",Silver
345,1948,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
346,1952,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
347,1932,Sailing Mixed 6 metres,Gold
348,1996,Football Women's Football,Gold
349,2016,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
350,1980,Volleyball Women's Volleyball,Gold
351,1998,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
352,2002,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
353,2006,Biathlon Women's 10 kilometres Pursuit,Bronze
354,2006,Biathlon Women's 15 kilometres,Bronze
355,2006,Biathlon Women's 4 x 6 kilometres Relay,Gold
356,2016,Boxing Men's Bantamweight,Bronze
357,2016,"Fencing Men's Foil, Team",Gold
358,2008,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
359,1964,"Wrestling Men's Heavyweight, Freestyle",Silver
360,1980,Hockey Women's Hockey,Bronze
361,1960,Rowing Men's Coxless Fours,Bronze
362,1968,Hockey Men's Hockey,Gold
363,1984,Hockey Men's Hockey,Gold
364,1972,Athletics Men's 400 metres Hurdles,Gold
365,1972,Water Polo Men's Water Polo,Gold
366,1980,Water Polo Men's Water Polo,Gold
367,2016,Athletics Women's 4 x 100 metres Relay,Gold
368,2012,Volleyball Women's Volleyball,Silver
369,2016,Volleyball Women's Volleyball,Bronze
370,2004,Weightlifting Men's Middle-Heavyweight,Silver
371,2008,Weightlifting Men's Middle-Heavyweight,Bronze
372,2000,Water Polo Women's Water Polo,Bronze
373,1992,Weightlifting Men's Heavyweight II,Silver
374,2016,Football Men's Football,Bronze
375,2016,"Fencing Women's Sabre, Team",Bronze
376,1976,Athletics Women's 4 x 400 metres Relay,Bronze
377,1976,Athletics Men's 4 x 100 metres Relay,Bronze
378,1980,Athletics Men's 4 x 100 metres Relay,Gold
379,1996,Rowing Men's Coxed Eights,Bronze
380,1980,Swimming Women's 4 x 100 metres Medley Relay,Bronze
381,1976,Sailing Mixed Two Person Keelboat,Silver
382,2004,Boxing Men's Heavyweight,Bronze
383,2012,Shooting Men's Skeet,Bronze
384,2000,Shooting Men's Double Trap,Bronze
385,2012,Shooting Men's Trap,Bronze
386,2016,Shooting Men's Double Trap,Gold
387,2012,"Equestrianism Mixed Jumping, Team",Bronze
388,2000,"Equestrianism Mixed Jumping, Individual",Bronze
389,1984,Hockey Men's Hockey,Gold
390,2004,Shooting Men's Double Trap,Gold
391,2016,Shooting Men's Skeet,Bronze
392,2012,"Equestrianism Mixed Jumping, Team",Bronze
393,2000,Athletics Men's 400 metres Hurdles,Silver
394,2012,Sailing Women's Windsurfer,Gold
395,1964,Basketball Men's Basketball,Silver
396,1972,"Wrestling Men's Flyweight, Freestyle",Silver
397,1956,Hockey Men's Hockey,Silver
398,1960,Hockey Men's Hockey,Gold
399,1992,Basketball Men's Basketball,Silver
400,1994,Ice Hockey Men's Ice Hockey,Bronze
401,1960,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
402,1968,Sailing Mixed One Person Dinghy,Bronze
403,1992,Cross Country Skiing Men's 10 kilometres,Silver
404,1992,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
405,1994,Cross Country Skiing Men's 10 kilometres,Bronze
406,1994,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
407,1998,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
408,1920,Tennis Men's Doubles,Bronze
409,2012,Weightlifting Men's Super-Heavyweight,Bronze
410,2000,Football Men's Football,Silver
411,1984,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
